Date,Open,High,Low,Close,Adj Close,Volume
2023-08-24,68300.000000,68700.000000,67900.000000,68200.000000,68200.000000,15044463
2023-08-25,67100.000000,67400.000000,66900.000000,67100.000000,67100.000000,7032462
2023-08-28,66800.000000,67000.000000,66500.000000,66800.000000,66800.000000,5824628
2023-08-29,66900.000000,67200.000000,66600.000000,66800.000000,66800.000000,9114352
2023-08-30,67300.000000,67700.000000,67100.000000,67100.000000,67100.000000,9181223
2023-08-31,67100.000000,67200.000000,66400.000000,66900.000000,66900.000000,15964630
2023-09-01,66800.000000,71000.000000,66700.000000,71000.000000,71000.000000,29738235
2023-09-04,72900.000000,72900.000000,70700.000000,71200.000000,71200.000000,26286495
2023-09-05,70900.000000,71500.000000,70200.000000,70700.000000,70700.000000,12330239
2023-09-06,70700.000000,70800.000000,69700.000000,70000.000000,70000.000000,11414620
2023-09-07,70000.000000,70600.000000,69600.000000,70400.000000,70400.000000,13741241
2023-09-08,70200.000000,70300.000000,69600.000000,70300.000000,70300.000000,10688118
2023-09-11,70400.000000,70800.000000,70000.000000,70800.000000,70800.000000,11785462
2023-09-12,70800.000000,71000.000000,70400.000000,70500.000000,70500.000000,11688599
2023-09-13,71100.000000,71600.000000,70300.000000,70900.000000,70900.000000,15955797
2023-09-14,71200.000000,71800.000000,70800.000000,71700.000000,71700.000000,21041407
2023-09-15,71700.000000,72300.000000,71400.000000,72000.000000,72000.000000,17823512
2023-09-18,71300.000000,71700.000000,70200.000000,70200.000000,70200.000000,16040727
2023-09-19,70400.000000,70800.000000,69600.000000,69800.000000,69800.000000,11820188
2023-09-20,70000.000000,70300.000000,69500.000000,69600.000000,69600.000000,10873015
2023-09-21,69200.000000,69800.000000,68800.000000,68900.000000,68900.000000,10796336
2023-09-22,68300.000000,68900.000000,68300.000000,68800.000000,68800.000000,9897840
2023-09-25,68500.000000,69700.000000,68500.000000,69400.000000,69400.000000,13582516
2023-09-26,70000.000000,70000.000000,68400.000000,68600.000000,68600.000000,13143470
2023-09-27,68600.000000,69100.000000,68200.000000,68400.000000,68400.000000,14886491
2023-10-04,67400.000000,67700.000000,66700.000000,67500.000000,67500.000000,23361149
2023-10-05,67300.000000,67400.000000,66700.000000,66700.000000,66700.000000,16108313
2023-10-06,67100.000000,67300.000000,66000.000000,66000.000000,66000.000000,14386527
2023-10-10,66200.000000,67600.000000,66200.000000,66400.000000,66400.000000,19889202
2023-10-11,68600.000000,69400.000000,67900.000000,68200.000000,68200.000000,25209349
2023-10-12,68600.000000,69700.000000,68200.000000,68900.000000,68900.000000,19311380
2023-10-13,68000.000000,68500.000000,67700.000000,68000.000000,68000.000000,9724086
2023-10-16,67900.000000,68500.000000,66800.000000,67300.000000,67300.000000,12599299
2023-10-17,67700.000000,69900.000000,67400.000000,69400.000000,69400.000000,17299253
2023-10-18,68900.000000,70500.000000,68800.000000,70500.000000,70500.000000,16493184
2023-10-19,69700.000000,70000.000000,69400.000000,69500.000000,69500.000000,13985012
2023-10-20,68900.000000,69200.000000,68100.000000,68800.000000,68800.000000,15204495
2023-10-23,68700.000000,69100.000000,68200.000000,68400.000000,68400.000000,11625959
2023-10-24,68700.000000,68800.000000,67700.000000,68500.000000,68500.000000,12791710
2023-10-25,68800.000000,68800.000000,67900.000000,68000.000000,68000.000000,10610703
2023-10-26,67000.000000,67900.000000,66700.000000,66700.000000,66700.000000,15517624
2023-10-27,67100.000000,67300.000000,66700.000000,67300.000000,67300.000000,11334726
2023-10-30,66800.000000,67800.000000,66700.000000,67300.000000,67300.000000,10139270
2023-10-31,67600.000000,68300.000000,66900.000000,66900.000000,66900.000000,14488892
2023-11-01,67500.000000,68900.000000,67300.000000,68600.000000,68600.000000,13775256
2023-11-02,70000.000000,70000.000000,69400.000000,69700.000000,69700.000000,16350031
2023-11-03,69700.000000,70200.000000,69500.000000,69600.000000,69600.000000,10322234
2023-11-06,69800.000000,70900.000000,69300.000000,70900.000000,70900.000000,22228489
2023-11-07,70600.000000,70900.000000,70000.000000,70900.000000,70900.000000,17228731
2023-11-08,71300.000000,71400.000000,69700.000000,69900.000000,69900.000000,12901310
2023-11-09,69900.000000,70800.000000,69600.000000,70300.000000,70300.000000,12301373
2023-11-10,70000.000000,70500.000000,69500.000000,70500.000000,70500.000000,9684347
2023-11-13,71300.000000,71300.000000,70300.000000,70400.000000,70400.000000,9246919
2023-11-14,71000.000000,71100.000000,70600.000000,70800.000000,70800.000000,9567984
2023-11-15,71600.000000,72200.000000,71500.000000,72200.000000,72200.000000,20148677
2023-11-16,72500.000000,73000.000000,72300.000000,72800.000000,72800.000000,15860451
2023-11-17,72300.000000,73000.000000,72300.000000,72500.000000,72500.000000,11494644
2023-11-20,72100.000000,73000.000000,72100.000000,72700.000000,72700.000000,10610157
2023-11-21,73100.000000,73400.000000,72700.000000,72800.000000,72800.000000,9712881
2023-11-22,72200.000000,73000.000000,71900.000000,72800.000000,72800.000000,11105143
2023-11-23,73000.000000,73200.000000,72200.000000,72400.000000,72400.000000,6775614
2023-11-24,72400.000000,72600.000000,71700.000000,71700.000000,71700.000000,6676685
2023-11-27,71500.000000,72100.000000,71100.000000,71300.000000,71300.000000,9113857
2023-11-28,71400.000000,72700.000000,71300.000000,72700.000000,72700.000000,13283081
2023-11-29,72400.000000,72800.000000,72200.000000,72600.000000,72600.000000,7041104
